Alemanha, UEFA, 10, ns
Espanha, UEFA, 10, ns
Franca, UEFA, 10, ns
Portugal, UEFA, 9, ns
Belgica, UEFA, 9, ns
Inglaterra, UEFA, 9, ns
Italia, UEFA, 9, ns
Holanda, UEFA, 9, ns
Croacia, UEFA, 8, ns
Russia, UEFA, 8, ns
Suecia, UEFA, 8, ns
Hungria, UEFA, 7, ns
Polonia, UEFA, 7, ns
Japao, AFC, 7, ns
Australia, AFC, 7, ns
Qatar, AFC, 5, sede
Coreia do Sul, AFC, 6, ns
Ira, AFC, 6, ns
Camaroes, CAF, 6, ns
Egito, CAF, 7, ns
Nigeria, CAF, 6, ns
Gana, CAF, 7, ns
Senegal, CAF, 6, ns
Mexico, CONCACAF, 8, ns
Estados Unidos, CONCACAF, 6, ns
Costa Rica, CONCACAF, 7, ns
Brasil, CONMEBOL, 10, ns
Argentina, CONMEBOL, 9, ns
Uruguai, CONMEBOL, 9, ns
Colombia, CONMEBOL, 8, ns
Chile, CONMEBOL, 7, ns
Nova Zelandia, OFC, 4, ns
