Brasil, CONMEBOL, 99, ns, Alisson, Daniel Alves, Marquinhos, Éder Militão, Guilherme Arana, Casemiro, Fred, Paquetá, Raphinha, Neymar, Vini Jr
Bélgica, UEFA, 98, ns, Mignolet, Alderweireld, Boyata, Vertonghen, Meunier, Vanaken, Witsel, Castagne, Lukaku, Kevin De Bruyne, Hazard
França, UEFA, 94, ns, Lloris, Koundé, Varane, L. Hernández, Coman, Kanté, Tchouaméni, T. Hernández, Griezmann, Benzema, Mbappé
Argentina, CONMEBOL, 92, ns, E. Martínez, Tagliafico, Otamendi, C. Romero, N. Molina, G. Rodríguez, R. De Paul, Lo Celso, Di María, Messi, L. Martínez
Inglaterra, UEFA, 91, ns, Pickford, Trippier, Maguire, Stones, Walker, Phillips, Rice, Sterling, Mount, Saka, Kane
Espanha, UEFA, 86, ns, U. Simon, J. Alba, Torres, Diego Llorente, Azpilicueta, Gavi, Busquets, Llorente, Pablo Sarabia, Morata, F. Torres
Portugal, UEFA, 82, ns, R. Patrício, Cancelo, Pepe, D. Pereira, Nuno Mendes, B. Fernandes, R. Neves, W. Carvalho, Otávio, C. Ronaldo, Diogo Jota
México, CONCACAF, 81, ns, Ochoa, J. Sanchez, C. Montes, J. Vasquez, G. Arteaga, H. Herrera, E. Álvarez, C. Rodriguez, J. Corona, R. Jiménez, H. Lozano
Holanda, UEFA, 81, ns, Cillessen, Aké, V. van Dijk, Timber, Blind, Klaassen, F. de Jong, Berghuis, Dumfries, Depay, Bergwijn
Dinamarca, UEFA, 80, ns, Schmeichel, Nelsson, Vestergaard, Andersen, J. Mæhle, P. Højbjerg, Delaney, Wass, Eriksen, Olsen, Dolberg 
Alemanha, UEFA, 80, ns, Neuer, Klostermann, Rüdiger, Schlotterbeck, Hofmann, Kimmich, Gündoğan, Raum, T. Müller, Musiala, Havertz 
Uruguai, CONMEBOL, 78, ns, Muslera, Viña, Godín, Coates, Nández, N. De La Cruz, Valverde, Vecino, Bentancur, Cavani, Suárez 
